column,dtype,non_null_count,null_count,null_pct,unique_count,duplicate_count,cardinality_pct
CODIGO_UNICO,Int64,1350449,0,0.0,192620,1157829,14.26
DESCRIPCION,String,1350449,0,0.0,613737,736712,45.45
COD_TIPO,Int64,1350449,0,0.0,9,1350440,0.0
TIP_REGISTRO,String,1350449,0,0.0,32,1350417,0.0
PERIODO,Float64,823104,527345,39.05,113,822991,0.01
FECHA_REGISTRO,String,1350449,0,0.0,990750,359699,73.36
